100	101	3
100	111	3
101	102	9
102	103	2
103	104	1
104	105	2
104	113	3
104	114	1
104	124	1
105	106	2
106	107	3
108	116	2
108	117	2
111	121	7
111	142	6
112	122	5
113	123	1
114	126	4
115	116	3
115	174	6
116	117	1
118	127	3
119	134	3
11	12	4
11	20	9
11	30	7
120	121	5
122	123	4
122	154	2
124	154	2
125	153	2
126	174	4
127	128	1
128	129	2
129	130	1
12	13	3
130	132	2
131	132	2
132	133	2
133	149	3
134	135	4
135	136	2
136	137	5
138	139	2
139	149	4
13	14	3
13	31	9
140	141	2
141	142	6
142	143	3
142	144	7
144	145	4
145	146	1
146	147	3
147	148	2
148	149	3
149	150	2
150	151	3
151	152	5
151	156	9
152	153	9
153	154	2
153	155	1
153	160	1
156	159	2
157	159	2
158	159	2
159	161	5
15	16	4
15	27	4
160	161	1
161	162	5
162	163	1
163	164	1
164	167	2
165	167	2
166	168	1
167	168	1
168	169	5
169	170	3
170	171	6
171	172	4
171	173	2
174	175	3
175	176	7
176	177	2
177	178	1
177	180	5
177	181	2
178	179	10
17	22	1
180	185	2
181	183	6
182	183	4
183	184	2
184	185	6
185	186	2
186	187	2
186	189	4
187	188	3
189	190	6
18	23	4
190	191	7
190	195	5
190	215	8
191	192	2
191	195	9
192	193	12
193	194	12
194	214	10
194	217	5
195	196	5
195	201	5
195	202	5
196	197	30
197	198	12
198	199	7
199	200	6
19	24	5
1	15	3
202	203	5
203	204	3
204	205	1
205	206	10
206	207	10
207	208	14
208	209	12
209	210	16
210	211	18
211	212	9
211	213	10
213	218	10
215	216	16
216	217	5
217	218	3
218	219	13
218	222	5
218	223	4
218	224	5
219	220	30
21	28	2
220	221	9
224	225	4
225	226	18
226	227	4
227	228	6
228	229	4
228	230	12
22	50	4
23	38	2
24	30	14
25	46	4
26	46	5
26	47	4
27	36	3
28	37	2
28	65	10
29	38	5
2	15	2
30	39	8
31	32	2
31	71	6
32	33	2
33	42	3
34	42	4
35	43	12
36	48	2
37	49	2
38	52	4
39	40	7
39	53	5
3	4	1
41	54	1
42	43	2
42	55	3
42	57	3
43	44	2
43	55	6
45	46	8
45	58	10
45	59	8
46	47	4
47	62	10
48	49	2
49	50	3
4	5	4
50	78	4
51	52	2
52	67	2
52	68	1
53	70	5
54	71	7
55	56	3
58	73	6
59	60	4
59	74	4
5	17	2
60	74	5
61	62	7
62	63	2
64	65	10
64	77	1
66	78	1
67	78	4
68	69	4
6	22	2
70	79	6
71	80	2
72	73	12
74	81	2
75	76	3
75	81	3
75	82	3
76	82	4
77	84	1
78	86	1
79	89	2
7	18	3
7	8	4
80	90	1
81	100	12
81	82	1
83	87	1
84	85	4
84	87	2
86	88	3
87	104	2
88	104	1
89	106	3
8	9	3
90	115	1
91	108	15
91	109	4
92	109	3
93	94	8
93	95	12
94	95	40
94	96	10
95	96	30
96	97	7
97	98	2
97	99	2
98	99	5
99	100	20
9	10	5
